tournament,year,stage,group,date,home_team,away_team,goals_home,goals_away,ht_goals_home,ht_goals_away,extra_time,penalties,pen_goals_home,pen_goals_away,result,venue,city,host_country
FIFA World Cup,2018,Group Stage,A,2018-06-14,Russia,Saudi Arabia,5,0,2,0,0,0,,,H,Luzhniki Stadium,Moscow,Russia
FIFA World Cup,2018,Group Stage,A,2018-06-15,Egypt,Uruguay,0,1,0,0,0,0,,,A,Ekaterinburg Arena,Ekaterinburg,Russia
FIFA World Cup,2018,Group Stage,A,2018-06-19,Russia,Egypt,3,1,0,0,0,0,,,H,Saint Petersburg Stadium,Saint Petersburg,Russia
FIFA World Cup,2018,Group Stage,A,2018-06-20,Uruguay,Saudi Arabia,1,0,1,0,0,0,,,H,Rostov Arena,Rostov-on-Don,Russia
FIFA World Cup,2018,Group Stage,A,2018-06-25,Uruguay,Russia,3,0,2,0,0,0,,,H,Samara Arena,Samara,Russia
FIFA World Cup,2018,Group Stage,A,2018-06-25,Saudi Arabia,Egypt,2,1,1,1,0,0,,,H,Volgograd Arena,Volgograd,Russia
FIFA World Cup,2018,Group Stage,B,2018-06-15,Morocco,Iran,0,1,0,0,0,0,,,A,Saint Petersburg Stadium,Saint Petersburg,Russia
FIFA World Cup,2018,Group Stage,B,2018-06-15,Portugal,Spain,3,3,2,1,0,0,,,D,Fisht Stadium,Sochi,Russia
FIFA World Cup,2018,Group Stage,B,2018-06-20,Portugal,Morocco,1,0,1,0,0,0,,,H,Luzhniki Stadium,Moscow,Russia
FIFA World Cup,2018,Group Stage,B,2018-06-20,Iran,Spain,0,1,0,0,0,0,,,A,Kazan Arena,Kazan,Russia
FIFA World Cup,2018,Group Stage,B,2018-06-25,Iran,Portugal,1,1,0,1,0,0,,,D,Mordovia Arena,Saransk,Russia
FIFA World Cup,2018,Group Stage,B,2018-06-25,Spain,Morocco,2,2,1,1,0,0,,,D,Kaliningrad Stadium,Kaliningrad,Russia
FIFA World Cup,2018,Group Stage,C,2018-06-16,France,Australia,2,1,0,0,0,0,,,H,Kazan Arena,Kazan,Russia
FIFA World Cup,2018,Group Stage,C,2018-06-16,Peru,Denmark,0,1,0,0,0,0,,,A,Mordovia Arena,Saransk,Russia
FIFA World Cup,2018,Group Stage,C,2018-06-21,Denmark,Australia,1,1,1,1,0,0,,,D,Samara Arena,Samara,Russia
FIFA World Cup,2018,Group Stage,C,2018-06-21,France,Peru,1,0,1,0,0,0,,,H,Ekaterinburg Arena,Ekaterinburg,Russia
FIFA World Cup,2018,Group Stage,C,2018-06-26,Denmark,France,0,0,0,0,0,0,,,D,Luzhniki Stadium,Moscow,Russia
